Service|Country|Category|API_Quality(1-5)|Market_Size(1-5)|MCP_Exists(yes/no/unknown)|OpenAPI_Spec(yes/no/unknown)|Auth_Type|Est_Hours(S/M/L/XL)|Priority(HIGH/MED/LOW)|Notes
# ============================================================
# BRAZIL
# ============================================================
Mercado Livre|BR|Marketplace|4|5|no|unknown|OAuth 2.0|M|HIGH|148M+ LATAM users; webhooks; SDKs in 5 languages
Magazine Luiza|BR|Marketplace|4|4|no|unknown|OAuth 2.0|M|HIGH|950+ stores; seller homologation required
Shopee BR|BR|Marketplace|4|4|no|unknown|HMAC-SHA256 + OAuth|M|MED|BR-specific endpoint
Amazon BR|BR|Marketplace|4|4|no|unknown|OAuth 2.0 + AWS SigV4|M|MED|SP-API; Brazil Shipment Invoicing API
Americanas|BR|Marketplace|2|3|no|no|Token|L|LOW|Post-bankruptcy restructuring
iFood|BR|Food Delivery|4|5|no|unknown|OAuth 2.0|M|HIGH|60M+ users; 80% market share; polling-based events
Rappi BR|BR|Food Delivery|4|3|no|unknown|OAuth 2.0|M|MED|Super-app delivery
Mercado Pago|BR|Payments|5|5|yes|unknown|OAuth 2.0|S|HIGH|Already has official MCP server + Claude plugin
Pix (BCB)|BR|Payments|4|5|no|yes|mTLS + OAuth 2.0|M|HIGH|175M+ users; OpenAPI 3.0 spec; access via PSPs
PagBank/PagSeguro|BR|Payments|4|4|no|unknown|Token-based|M|HIGH|30M+ accounts; public sandbox
Pagar.me (Stone)|BR|Payments|5|4|no|unknown|API Key|S|HIGH|Best DX; SDKs in 5 languages
Cielo|BR|Payments|4|5|no|unknown|MerchantId + Key|M|HIGH|#1 acquirer; public sandbox
Asaas|BR|Payments|4|3|no|unknown|API Key|S|HIGH|Excellent docs; Pix/boleto/card
EfiPay (Gerencianet)|BR|Payments|4|3|no|unknown|OAuth 2.0 + mTLS|M|HIGH|Pix-first; SDKs in 7 languages
Banco do Brasil|BR|Banking|4|5|no|unknown|OAuth 2.0|M|HIGH|75M+ customers; most mature bank portal
Banco Inter|BR|Banking|4|4|no|unknown|OAuth 2.0 + mTLS|M|MED|30M+ customers; Pix billing
Nubank|BR|Banking|2|5|no|unknown|OAuth 2.0|M|MED|80M+ customers; NuPay only
Itau|BR|Banking|4|5|no|unknown|OAuth 2.0/FAPI|M|MED|60M+ customers; Open Finance APIs
Rede (Itau)|BR|Payments|4|3|no|unknown|Basic Auth|S|MED|Sandbox available
Stone|BR|Payments|3|4|no|unknown|Partner credentials|M|MED|NASDAQ-listed; redirects to Pagar.me
PicPay|BR|Payments|4|4|no|unknown|Token-based|S|MED|60M+ users; e-commerce payment API
Porto Seguro|BR|Insurance|4|4|no|unknown|OAuth 2.0|M|MED|BaaS/IaaS/Open Insurance
Mercado Bitcoin|BR|Crypto|4|3|no|unknown|API Key + Secret|M|MED|3.8M+ customers; REST + WebSocket
SumUp BR|BR|Payments|3|3|no|unknown|OAuth 2.0|S|LOW|Global developer portal
Correios|BR|Logistics|4|5|no|unknown|Token-based|M|HIGH|~50% of e-commerce deliveries; REST + SOAP
Loggi|BR|Logistics|4|3|no|unknown|API Key|M|MED|Unicorn; 4K+ municipalities
Jadlog|BR|Logistics|3|3|no|unknown|Token|S|LOW|Contract required
TOTVS|BR|ERP|4|5|no|unknown|OAuth 2.0/OpenID|L|HIGH|70K+ customers; 30%+ market share
NFe.io|BR|E-Invoicing|5|4|no|unknown|API Key|S|HIGH|Mandatory NF-e/NFS-e; SDKs in 5 langs; 15h build
Focus NFe|BR|E-Invoicing|4|4|no|unknown|HTTP Basic Auth|S|HIGH|NFe/NFCe/NFSe/CTe/MDFe
RD Station|BR|Marketing|4|4|no|unknown|OAuth 2.0|M|HIGH|40K+ customers
Omie|BR|ERP|3|4|no|unknown|App Key + Secret|M|HIGH|JSON-RPC (non-REST)
Bling|BR|ERP|4|4|no|unknown|OAuth 2.0|M|HIGH|1M+ entrepreneurs; 260+ marketplace integrations
ContaAzul|BR|Accounting|4|3|no|unknown|OAuth 2.0|M|MED|Newly modernized API
Ploomes|BR|CRM|4|3|no|unknown|API Key|S|MED|OData querying support
Agendor|BR|CRM|4|2|no|unknown|API Key|S|LOW|GitHub-hosted API docs
Gupy|BR|HR|4|3|no|unknown|OAuth Bearer|M|MED|Requires subscription
Tiny ERP|BR|ERP|3|3|no|unknown|Token|S|LOW|Token API extension
WhatsApp Business API|BR|Messaging|4|5|no|unknown|OAuth 2.0 Bearer|M|HIGH|120M+ Brazilian users
Zenvia|BR|CPaaS|4|4|no|yes|Basic/API Key/Token|M|HIGH|NASDAQ-listed; OpenAPI spec on GitHub
Hotmart|BR|Digital Products|4|5|no|unknown|OAuth 2.0|M|HIGH|35M+ users; 580K+ products; sandbox
JusBrasil|BR|Legal|3|4|no|unknown|Enterprise API Key|M|MED|100M+ visits/year; enterprise-only
Locaweb|BR|Hosting|3|3|no|unknown|Token|S|LOW|Server/email management
Gov.br / Receita Federal|BR|Government|3|5|no|unknown|OAuth/Token|M|HIGH|CNPJ/CPF validation
eSocial|BR|Government|2|5|no|unknown|Digital certificate|M|MED|Mandatory labor reporting; SOAP/XML
SPED|BR|Government|2|5|no|unknown|Digital certificate|L|LOW|Best via ERP
Decolar/Despegar|BR|Travel|3|4|no|unknown|Partner credentials|M|LOW|Partner agreement required
Conexa Saude|BR|Healthcare|3|3|no|unknown|API Token|S|LOW|Enterprise-only
# ============================================================
# MEXICO
# ============================================================
Mercado Libre MX|MX|Marketplace|4|5|no|unknown|OAuth 2.0|M|HIGH|Same ML API; MX site ID: MLM
Amazon MX|MX|Marketplace|4|4|no|unknown|OAuth 2.0 + AWS SigV4|M|MED|SP-API global
Coppel|MX|Marketplace|1|4|no|no|N/A|L|LOW|No API
Liverpool|MX|Marketplace|1|4|no|no|N/A|L|LOW|No API
Rappi MX|MX|Food Delivery|3|4|no|unknown|OAuth 2.0|M|MED|Partner-restricted
Uber Eats MX|MX|Food Delivery|4|4|no|unknown|OAuth 2.0|M|MED|POS integrator program
DiDi Food MX|MX|Food Delivery|1|3|no|no|N/A|L|LOW|No API; via aggregators only
Mercado Pago MX|MX|Payments|5|5|yes|unknown|OAuth 2.0|S|HIGH|Already has official MCP server
Conekta|MX|Payments|5|5|yes|unknown|API Key (Basic)|S|HIGH|conekta/mcp-server on GitHub; OXXO/SPEI/cards
OpenPay (BBVA)|MX|Payments|4|4|no|unknown|Basic Auth|M|HIGH|BBVA-backed; sandbox; Colombia/Peru
Bitso|MX|Crypto|4|4|no|unknown|HMAC-SHA256|M|HIGH|Largest LATAM crypto; sandbox
Clip|MX|Payments|4|4|no|unknown|API Key|M|HIGH|POS unicorn; Checkout + Transaction APIs
BBVA Mexico|MX|Banking|3|5|no|unknown|OAuth 2.0/API Key|M|MED|Most extensive MX bank API; many partner-only
Banregio|MX|Banking|3|3|no|unknown|API credentials|M|MED|Hey Banco neobank
PayPal MX|MX|Payments|4|4|no|unknown|OAuth 2.0|S|LOW|Global API
SumUp MX|MX|Payments|3|3|no|unknown|OAuth 2.0|S|LOW|Global portal
Skydropx|MX|Logistics|4|4|no|unknown|OAuth 2.0|M|HIGH|Single API for 20+ carriers
99minutos|MX|Logistics|4|3|no|unknown|API Key|S|MED|50K+ daily deliveries; YCombinator S18
Estafeta|MX|Logistics|2|3|no|unknown|Login + API Key|M|LOW|SOAP-based; better via Skydropx
DHL MX|MX|Logistics|4|3|no|unknown|API Key|S|LOW|Global portal
Facturapi|MX|E-Invoicing|5|5|no|unknown|API Key (Bearer)|S|HIGH|CFDI 4.0; Stripe-like DX; EN/ES docs
Bind ERP|MX|ERP|4|3|no|unknown|API Key|S|MED|#1 cloud ERP for MX SMEs
SW Sapien|MX|E-Invoicing|4|3|no|unknown|Token|S|MED|CFDI PAC; Postman collection
FiscalAPI|MX|E-Invoicing|4|3|no|unknown|API Key|S|MED|SDKs in 6 languages
ContPAQi|MX|ERP|3|4|no|unknown|Subscription key|M|LOW|Azure API Management
Finkok/Quadrum|MX|E-Invoicing|2|3|no|unknown|Username/Password|M|LOW|SOAP-based
SAT (via wrappers)|MX|Government|2|5|no|unknown|Various|M|HIGH|Third-party wrappers (Facturapi/CheckID)
gob.mx Datos Abiertos|MX|Government|3|3|no|unknown|Public/open|S|LOW|DKAN/CKAN-based
CURP validation|MX|Government|2|4|no|unknown|API Key|S|MED|Third-party only
RFC validation|MX|Government|2|4|no|unknown|API Key|S|MED|Via Facturapi
Auronix|MX|CPaaS|3|3|no|unknown|Partner credentials|M|LOW|Enterprise-only
Sinch MX|MX|CPaaS|4|3|no|unknown|API Key/OAuth|S|LOW|Global API
Doctoralia MX|MX|Healthcare|3|3|no|unknown|Partner credentials|S|LOW|DocPlanner Integrations API
# ============================================================
# ARGENTINA
# ============================================================
Mercado Libre AR|AR|Marketplace|4|5|no|unknown|OAuth 2.0|M|HIGH|Dominant; site ID: MLA
PedidosYa|AR|Food Delivery|2|3|no|unknown|Partner credentials|L|LOW|Via POS integrations
Rappi AR|AR|Food Delivery|2|3|no|unknown|OAuth 2.0|L|LOW|Via POS integrations
Mercado Pago AR|AR|Payments|5|5|yes|unknown|OAuth 2.0|S|HIGH|Already has MCP server + Claude plugin
Mobbex|AR|Payments|4|3|no|unknown|API Key + Token|S|MED|WooCommerce/PrestaShop/VTEX plugins
MODO|AR|Payments|3|4|no|unknown|Partner credentials|M|MED|35+ banks; QR payments
Ripio|AR|Crypto|4|3|no|unknown|HMAC + API Key|M|HIGH|Trade + B2B Ramps API; webhooks
Uala|AR|Neobank|1|4|no|no|N/A|L|LOW|7M+ users but no API
Lemon Cash|AR|Crypto|1|3|no|no|N/A|L|LOW|3.5M+ users but no API
BCRA Public APIs|AR|Government|3|3|no|unknown|Public|S|LOW|Exchange rates and stats
Andreani|AR|Logistics|4|4|no|unknown|Contract credentials|M|HIGH|#1 private courier
OCA|AR|Logistics|3|3|no|unknown|Client credentials|S|MED|#2 private courier
Correo Argentino|AR|Logistics|3|3|no|unknown|API credentials|S|MED|National service; also on RapidAPI
AFIP Factura Electronica|AR|E-Invoicing|3|5|no|unknown|X.509 cert + SOAP|M|HIGH|Mandatory; AfipSDK wraps in REST
Colppy|AR|Accounting|4|3|no|unknown|Username/password|S|MED|AFIP integration built-in
Doppler|AR|Email Marketing|4|3|no|unknown|API Key|S|MED|93+ GitHub repos
Auravant|AR|AgriTech|3|2|no|unknown|Extension auth|S|LOW|Precision agriculture
# ============================================================
# CHINA
# ============================================================
Taobao / Tmall|CN|Marketplace|4|5|no|unknown|OAuth2 + App Key|L|HIGH|$850B GMV; open.taobao.com
JD.com (JOS)|CN|Marketplace|4|5|no|unknown|OAuth2|L|HIGH|$380B GMV; order/inventory/logistics
Pinduoduo|CN|Marketplace|3|5|no|unknown|HMAC-SHA256|M|HIGH|$490B GMV; group-buy leader
1688.com|CN|Marketplace|4|4|no|unknown|OAuth2|M|HIGH|B2B wholesale; Alibaba
AliExpress|CN|Marketplace|4|4|no|unknown|OAuth2|M|MED|Cross-border; English docs
Xiaohongshu / RED|CN|Social Commerce|2|4|no|unknown|OAuth2|L|HIGH|300M+ MAU; very restricted
Douyin Shop|CN|Marketplace|4|5|no|unknown|OAuth2|L|HIGH|Fastest-growing; ByteDance
Kuaishou Shop|CN|Marketplace|3|4|no|unknown|OAuth2|M|MED|400M MAU
Meituan|CN|Food/Services|4|5|no|unknown|OAuth2 + HMAC|L|HIGH|~70% food delivery market
Ele.me|CN|Food Delivery|4|4|no|unknown|OAuth2|M|HIGH|~30% food delivery; Alibaba
Hualala|CN|POS|3|4|no|unknown|API Key|M|HIGH|400K+ restaurants
Meituan POS|CN|POS|3|4|no|unknown|OAuth2|M|MED|Bundled with Meituan
Meituan Maicai|CN|Grocery|2|4|no|unknown|OAuth2|M|MED|Partner API only
Hema / Freshippo|CN|Grocery|2|3|no|unknown|N/A|M|MED|Via Alibaba ecosystem
ICBC|CN|Banking|3|5|no|unknown|RSA + OAuth2|L|HIGH|World's largest bank; enterprise agreement
WeBank|CN|Banking|4|4|no|unknown|OAuth2|M|HIGH|350M+ users; MSME lending APIs
MYbank|CN|Banking|3|4|no|unknown|OAuth2|M|HIGH|SME digital bank; Alipay integrated
Alipay|CN|Payments|4|5|yes|unknown|RSA2 + OAuth2|M|HIGH|1.3B users; AlipayPlus MCP covers intl only
WeChat Pay|CN|Payments|4|5|no|unknown|HMAC-SHA256|M|HIGH|900M+ users; no standalone MCP
UnionPay|CN|Payments|3|5|no|unknown|RSA|L|MED|Requires bank partnership
Ping++ (Pingplusplus)|CN|Payments|4|3|no|unknown|API Key|S|HIGH|Best DX; Stripe-like; no MCP
LianLian Pay|CN|Payments|3|3|no|unknown|OAuth2|M|MED|Cross-border focus
Yeepay|CN|Payments|3|3|no|unknown|RSA|M|MED|Financial services focus
ZhongAn|CN|Insurance|4|3|no|unknown|OAuth2 + API Key|M|HIGH|Fully digital insurance; no MCP
Tiger Brokers|CN|Fintech|4|3|no|unknown|OAuth2|M|HIGH|NASDAQ-listed; trading API
Futu / Moomoo|CN|Fintech|4|3|no|unknown|OAuth2|M|HIGH|Mature OpenAPI; no MCP
SF Express|CN|Logistics|4|4|no|unknown|API Key + RSA|M|HIGH|Premium courier; well-documented
ZTO Express|CN|Logistics|3|5|no|unknown|OAuth2|M|HIGH|#1 by volume
YTO Express|CN|Logistics|3|4|no|unknown|OAuth2|M|MED|Top-5 courier
STO Express|CN|Logistics|3|4|no|unknown|OAuth2|M|MED|Alibaba-owned
Yunda Express|CN|Logistics|3|4|no|unknown|API Key|M|MED|Less mature API
Cainiao|CN|Logistics|4|5|no|unknown|OAuth2|M|HIGH|Alibaba logistics orchestrator
JD Logistics|CN|Logistics|4|4|no|unknown|OAuth2|M|HIGH|Cold chain/warehousing APIs
Full Truck Alliance / Manbang|CN|Freight|4|4|no|unknown|OAuth2|M|HIGH|NYSE-listed; Uber for trucks
Lalamove|CN|Freight|4|3|no|unknown|OAuth2|M|HIGH|400+ cities; English + Chinese docs
China Post / EMS|CN|Postal|2|4|no|unknown|API Key|M|LOW|Limited; slow modernisation
Xiaoshouyi / Neocrm|CN|CRM|4|3|no|unknown|OAuth2|M|HIGH|#1 enterprise CRM
Fenxiang Xiaoke|CN|CRM|4|3|no|unknown|OAuth2|M|HIGH|SME CRM
Jianyu (Jiandaoyun)|CN|CRM/No-Code|4|3|no|unknown|API Key|S|MED|Airtable-like; 5M+ users
Kingdee|CN|ERP|4|5|no|unknown|OAuth2|L|HIGH|7M+ SME clients
Yonyou|CN|ERP|4|5|no|unknown|OAuth2|L|HIGH|Large enterprise ERP
Baiwang|CN|Tax/Accounting|3|4|no|unknown|OAuth2|M|HIGH|3M+ enterprises; fapiao integration
Aisino / Golden Tax|CN|E-Invoice|3|5|no|unknown|RSA + API Key|L|HIGH|Mandatory Golden Tax; 100% mandated
Nuonuo|CN|E-Invoice|4|4|no|unknown|OAuth2|M|HIGH|Best DX for fapiao; Alibaba ecosystem
Boss Zhipin|CN|HR|4|5|no|unknown|OAuth2|M|HIGH|100M+ users; employer posting + resume API
Moka HR|CN|HR|4|3|no|unknown|OAuth2|M|HIGH|Best API DX in Chinese HR SaaS
Feishu / Lark|CN|Collaboration|5|5|yes|unknown|OAuth2|S|HIGH|Official MCP: 584 stars; lark-openapi-mcp
DingTalk|CN|Collaboration|4|5|yes|unknown|OAuth2|M|HIGH|700M+ users; only basic MCP exists
WeChat Work|CN|Collaboration|4|5|yes|unknown|OAuth2|M|HIGH|180M+ users; messaging-only MCP exists
Teambition|CN|Project Management|3|3|no|unknown|OAuth2|M|MED|Notion-like; 10M+ users
Alibaba Cloud SMS|CN|SMS|4|4|no|unknown|AK/SK|S|HIGH|#1 cloud SMS
Tencent Cloud SMS|CN|SMS|4|4|no|unknown|API Key|S|HIGH|#2 cloud SMS
Yunpian|CN|SMS|5|3|no|unknown|API Key|S|HIGH|Best DX SMS; Twilio equivalent
ByteDance Ocean Engine|CN|Advertising|4|5|no|unknown|OAuth2|L|HIGH|Largest ad platform
Baidu Marketing API|CN|Advertising|4|5|no|unknown|OAuth2|M|HIGH|#1 search ads
Tencent Ads|CN|Advertising|4|5|no|unknown|OAuth2|L|HIGH|Social ads leader
WeChat Official Accounts|CN|Social Media|4|5|yes|unknown|OAuth2|M|HIGH|1.3B users; partial MCP (wechat-mcp)
WeChat Mini Programs|CN|Platform|4|5|no|unknown|OAuth2|L|HIGH|500M+ mini app users
Weibo|CN|Social Media|4|4|no|unknown|OAuth2|M|HIGH|580M MAU
Douyin Open Platform|CN|Social Media|4|5|no|unknown|OAuth2|M|HIGH|700M+ DAU
Bilibili|CN|Social Media|3|4|no|unknown|OAuth2|M|MED|400M MAU
Xiaohongshu Ads|CN|Advertising|2|4|no|unknown|OAuth2|L|MED|Premium lifestyle; restricted
Kuaishou|CN|Social Media|3|4|no|unknown|OAuth2|M|MED|400M DAU
Baidu Tongji|CN|Analytics|4|5|no|unknown|OAuth2|M|HIGH|Dominant web analytics
GrowingIO|CN|Analytics|4|3|no|unknown|OAuth2|M|HIGH|Mixpanel equivalent
Sensors Data|CN|Analytics|4|3|no|unknown|API Key|M|HIGH|2000+ enterprise
Umeng|CN|Analytics|3|4|no|unknown|App Key|M|HIGH|800K+ apps; Alibaba
Alibaba Cloud|CN|Cloud|5|5|yes|unknown|AK/SK|M|HIGH|37% China market; RDS MCP exists
Tencent Cloud|CN|Cloud|4|5|no|unknown|SecretId/SecretKey|M|HIGH|~33% market
Huawei Cloud|CN|Cloud|4|4|no|unknown|AK/SK|M|HIGH|Global ambitions
Agora|CN|RTC|4|3|no|unknown|App ID/Token|M|HIGH|Global RTC leader; English docs
Rongcloud|CN|IM|4|3|no|unknown|App Key|M|HIGH|Chat + IM; 10K+ apps
Amap / Gaode Maps|CN|Maps|4|5|no|unknown|API Key|M|HIGH|900M MAU; best map API
Baidu Maps|CN|Maps|4|5|no|unknown|API Key|M|HIGH|650M MAU; Chinese + English docs
Tencent Maps|CN|Maps|3|4|no|unknown|API Key|M|MED|Best for WeChat ecosystem
Tianyancha|CN|Compliance|4|4|no|unknown|API Key|M|HIGH|220M+ users; company registry
Qichacha|CN|Compliance|4|4|no|unknown|API Key|M|HIGH|Company credit alternative
Beike / KE.com|CN|Real Estate|3|4|no|unknown|OAuth2|M|HIGH|#1 property platform; NYSE
NetEase Youdao|CN|EdTech|4|3|no|unknown|API Key|S|HIGH|Translation + dict + OCR
Ximalaya|CN|Audio|3|3|no|unknown|OAuth2|M|MED|China's Spotify of audio
Ping An Good Doctor|CN|Healthcare|3|5|no|unknown|OAuth2|L|HIGH|400M+ registered; telemedicine
DXY / DingXiang Yuan|CN|Healthcare|3|4|no|unknown|OAuth2|M|HIGH|15M medical pros
Didi Chuxing|CN|Transport|4|5|no|unknown|OAuth2|M|HIGH|550M users; corporate travel API
Ctrip / Trip.com|CN|Travel|4|5|no|unknown|OAuth2|M|HIGH|#1 OTA; hotel/flight/train
Glodon|CN|Construction|4|3|no|unknown|OAuth2|M|HIGH|China's Autodesk; BIM SaaS
Peking University Fabao|CN|Legal|3|2|no|unknown|API Key|M|MED|Case law + statutes
# ============================================================
# INDIA
# ============================================================
Zoho CRM|IN|CRM|5|5|yes|unknown|OAuth 2.0|S|HIGH|Official MCP platform + 6+ community servers
Freshsales/CRM|IN|CRM|4|4|no|unknown|API Key (Token)|S|HIGH|NASDAQ-listed; no standalone MCP
LeadSquared|IN|CRM|4|3|no|unknown|Access Key + Secret Key|M|HIGH|India's top vertical CRM
Zoho Books|IN|Accounting|5|4|yes|yes|OAuth 2.0|S|HIGH|Community MCP exists (kkeeling)
TallyPrime|IN|Accounting|3|5|yes|no|None (network)|M|HIGH|7M+ businesses; community MCP (19 stars)
ERPNext/Frappe|IN|ERP|5|4|yes|yes|API Key/OAuth 2.0|S|HIGH|Official MCP (117 stars); 5+ community servers
GSTN API|IN|Tax|3|5|no|unknown|GSTIN + OTP|L|HIGH|Mandatory GST; via GSPs
NIC e-Invoice|IN|Tax|3|5|no|unknown|AES256 + RSA|L|HIGH|Mandatory for large businesses
ClearTax (Clear)|IN|Tax|4|5|no|unknown|Client ID + Secret|M|HIGH|1.5M+ customers; best single GST integration
Leegality|IN|eSign|4|3|no|unknown|X-Auth-Token|M|HIGH|India's #1 eSign; 2000+ businesses
Digio|IN|eSign/KYC|4|3|no|unknown|API credentials|M|HIGH|eSign+KYC+NACH combo
Setu|IN|Fintech Infra|4|3|no|unknown|OAuth/API key|S|MED|Best DX; UPI/BBPS/eSign/Account Aggregator
Keka HR|IN|HR|4|3|no|unknown|OAuth 2.0|M|HIGH|Full HR lifecycle; sandbox
greytHR|IN|HR|4|3|no|unknown|OAuth 2.0|M|HIGH|Postman collection; SMB market
Darwinbox|IN|HR|3|3|no|unknown|Basic Auth/OAuth 2.0|M|MED|Enterprise unicorn; request-only
Zoho People|IN|HR|4|3|yes|unknown|OAuth 2.0|S|MED|Covered by Zoho MCP platform
HROne|IN|HR|3|3|no|unknown|Bearer token (OAuth)|S|MED|Azure API Management portal
Gupshup|IN|CPaaS|4|5|no|unknown|API Key|L|HIGH|10B+ msgs/month; 30+ channels; needs dedicated MCP
MSG91|IN|CPaaS|4|3|no|unknown|authkey|M|MED|Multi-channel; Indian startups
Exotel|IN|CPaaS|4|3|yes|unknown|HTTP Basic|S|HIGH|Official MCP: exotel/ExotelMCP
Kaleyra|IN|CPaaS|4|3|no|unknown|API Key + SID|L|MED|7 channels; Tata Communications
WebEngage|IN|Engagement|4|4|no|unknown|Bearer token + License Code|M|HIGH|800+ global brands; no MCP
MoEngage|IN|Engagement|4|4|no|unknown|Basic Auth|M|HIGH|1200+ brands; has llms.txt
CleverTap|IN|Engagement|4|4|no|unknown|Account-Id + Passcode|M|HIGH|2000+ brands; SDKs (Python/Java/Go)
Netcore Cloud|IN|Marketing|4|4|no|unknown|API Key|L|HIGH|6500+ enterprise customers
Mailmodo|IN|Email|4|2|no|unknown|mmApiKey|S|MED|Niche AMP email
Zoho Analytics|IN|Analytics|4|3|yes|unknown|OAuth 2.0|S|MED|Official MCP: zoho/analytics-mcp-server
Hevo Data|IN|Data Pipeline|4|3|no|unknown|Basic Auth|M|MED|2500+ data teams
MapMyIndia/Mappls|IN|Maps|4|4|no|unknown|OAuth 2.0|M|HIGH|25+ API endpoints; biggest gap; no MCP
Ola Maps|IN|Maps|4|3|no|unknown|API Key + OAuth 2.0|S|MED|Newer; quick win
Shiprocket|IN|Logistics|4|5|no|unknown|Bearer Token (JWT)|M|HIGH|#1 aggregator; 17+ couriers; no MCP
Delhivery|IN|Logistics|4|4|no|unknown|API Token|M|HIGH|India's largest courier; clean docs
BlueDart|IN|Logistics|2|4|no|unknown|License Key (SOAP)|L|MED|SOAP barrier; use Shiprocket
Ecom Express|IN|Logistics|4|3|no|unknown|API credentials|S|MED|Postman collection
Shadowfax|IN|Logistics|2|3|no|unknown|API token|M|MED|Fragmented docs
iThink Logistics|IN|Logistics|4|2|no|unknown|API Key + Secret Key|S|MED|AI courier recommendation
Razorpay|IN|Payments|5|5|yes|unknown|API Key|S|HIGH|Official MCP (216 stars); 35+ tools
