Service|Country|Category|API_Quality(1-5)|Market_Size(1-5)|MCP_Exists(yes/no/unknown)|OpenAPI_Spec(yes/no/unknown)|Auth_Type|Est_Hours(S/M/L/XL)|Priority(HIGH/MED/LOW)|Notes
Wildberries Seller API|RU/KZ/BY/AM/KG/UZ|E-commerce Marketplace|4|5|yes|yes|API Key (JWT Bearer)|S|HIGH|Largest CIS marketplace; existing MCP server on GitHub; OpenAPI/Swagger docs; sandbox available
Ozon Seller API|RU/KZ/BY|E-commerce Marketplace|4|5|yes|yes|Client-ID + API Key|S|HIGH|#2 marketplace; existing MCP on LobeHub; sandbox at cb-api.ozonru.me; webhooks
Yandex Market Seller API|RU/KZ/BY|E-commerce Marketplace|4|4|no|yes|OAuth 2.0|M|HIGH|Sandbox available; Swagger docs; growing marketplace
Kaspi Marketplace API|KZ|E-commerce/Super-app|3|5|no|no|API Key (X-Auth-Token)|M|HIGH|Dominant KZ super-app; 12M+ users; JSON:API; no Kaspi Pay public API
Avito API|RU|Classifieds|3|5|no|no|OAuth 2.0|M|HIGH|90M+ monthly users; messenger API high value; business accounts only
Megamarket (SberMegaMarket)|RU|E-commerce Marketplace|3|3|no|unknown|API Key + Token|M|MED|Sber-backed; merchant API for orders/catalog
Lamoda Merchant API|RU/KZ/BY|Fashion E-commerce|2|3|no|unknown|API Key|M|MED|Fashion vertical; merchant-only
AliExpress Russia API|RU|E-commerce Marketplace|2|4|no|no|API Key + MD5 signature|L|LOW|Complex Alibaba ecosystem; RU restrictions post-2022
Satu.kz|KZ|E-commerce Marketplace|2|3|no|no|API Token|M|MED|EVO/prom.ua family; same API as prom.ua/deal.by
Uzum Market|UZ|E-commerce Marketplace|1|4|no|no|N/A (no official API)|XL|MED|Largest UZ marketplace; $1.5B valuation; no official API; reverse-engineered only
Kolesa.kz|KZ|Auto Classifieds|1|4|no|no|N/A|XL|LOW|No public API; 12M+ users; Kolesa Group
Krisha.kz|KZ|Real Estate Classifieds|1|4|no|no|N/A|XL|LOW|No public API; 5.8M monthly app users; Kolesa Group
CIAN|RU|Real Estate|2|4|no|no|API Key (agencies only)|M|MED|#1 RU real estate; partner API only for agencies
Onliner.by|BY|Tech Portal/Classifieds|2|3|no|no|API Key|M|MED|Largest BY tech portal; partial catalog API; undocumented
Kufar.by|BY|Classifieds|1|3|no|no|Unknown|L|MED|#1 BY classifieds; limited partner API
Deal.by|BY|Marketplace|3|2|no|no|OAuth 2.0|M|MED|EVO/prom.ua family; merchant REST API
List.am|AM|Classifieds|1|3|no|no|N/A|L|MED|Dominant AM classifieds; zero API; scraping only
Tap.az|AZ|Classifieds|1|3|no|no|N/A|XL|LOW|#1 AZ classifieds; no API
Turbo.az|AZ|Auto Classifieds|1|3|no|no|N/A|XL|LOW|Dominant for cars in AZ; no API
MyAuto.ge|GE|Auto/General Classifieds|1|3|no|no|Unknown (undocumented)|M|MED|Largest Caucasus auto portal; unofficial endpoints only
SS.ge|GE|Real Estate Classifieds|1|3|no|no|N/A|L|LOW|#1 GE real estate; zero API
999.md|MD|General Classifieds|1|4|no|no|N/A|L|MED|Dominant MD platform; 5M monthly visits; no API
Lalafo.kg|KG|Classifieds|1|3|no|no|N/A|L|MED|#1 KG classifieds; 3.5M users; no public API
Somon.tj|TJ|Classifieds|1|2|no|no|N/A|XL|LOW|#1 TJ classifieds; no API
Extra.ge|GE|E-commerce Marketplace|1|2|no|no|N/A|XL|LOW|Growing GE Amazon-like; no API
Yandex Eda (Restaurant API)|RU/KZ|Food Delivery|3|4|no|unknown|OAuth 2.0 / API Key|M|HIGH|Restaurant partner API for menu/orders/analytics
Glovo Partner API|KZ/KG/GE/AM/MD/BY|Food/Grocery Delivery|3|3|no|yes|OAuth 2.0 (client credentials)|L|MED|Global platform; staging env; must be active partner
Wolt Merchant API|GE/AM/AZ/KZ|Food/Grocery Delivery|4|3|yes|unknown|Bearer Token / OAuth 2.0 JWT|S|HIGH|Excellent docs; existing MCP (wolt-api-mcp); sandbox
Express24|UZ|Food/Grocery Delivery|1|4|no|no|N/A|XL|MED|Acquired by Yandex UZ; no public API; migrating to Yandex
Chocofood|KZ|Food Delivery|1|3|no|no|N/A|XL|MED|Chocofamily group; no public API
Namba Food|KG|Food Delivery|1|3|no|no|N/A|XL|LOW|Dominant in Bishkek; no API
iiko API|RU/KZ/BY/AM/GE/AZ/UZ|Restaurant POS/Management|3|4|no|no|API Key / Token|M|HIGH|#1 CIS restaurant system; 50K+ restaurants; REST API
Poster POS API|RU/KZ/BY/AM/GE/AZ/UZ/KG/MD|Restaurant POS|4|3|no|yes|API Key + OAuth|S|HIGH|Clean REST API; good docs; Postman collection; sandbox
r_keeper API|RU/KZ/BY|Restaurant POS|1|3|no|no|XML session auth|XL|LOW|Legacy XML/SOAP API; market leader but outdated tech
Evotor Cloud API|RU|Smart POS Terminal|3|4|no|unknown|OAuth 2.0 / Token|M|HIGH|800K+ terminals; Sber-backed; app marketplace
Quick Resto API|RU|Restaurant POS|3|2|no|unknown|API Key|M|MED|REST API for menu/orders/reports
Frontpad API|RU|Delivery Restaurant POS|3|2|no|unknown|API Key|S|MED|Simple REST API; popular with small delivery restaurants
Jowi|UZ|Restaurant Management|2|2|no|unknown|API Key|M|MED|UZ-native restaurant system
Paloma365|KZ|Cloud POS|1|2|unknown|unknown|Unknown|L|LOW|Local KZ player; API status unclear
SolIQ QR|UZ|Fiscal/POS|3|4|no|unknown|Token|M|HIGH|UZ mandatory fiscal QR system
Bitrix24 REST API|RU/KZ/BY/UZ/AM/GE/AZ/MD/KG|CRM/PM/Collaboration|4|5|unknown|no|OAuth 2.0 / Webhook|M|HIGH|15M+ orgs; massive API surface; dominant CIS CRM
amoCRM API|RU/KZ/BY/UZ/AM|Sales CRM|4|4|no|no|OAuth 2.0|S|HIGH|50K+ businesses; excellent API; webhooks
RetailCRM API|RU/KZ/BY|E-commerce CRM|5|3|no|yes|API Key|M|HIGH|Best docs among RU CRMs; Swagger/Postman; e-commerce focus
Megaplan API|RU/KZ/BY|CRM/PM|2|2|no|no|Token|M|LOW|Outdated REST design; no webhooks; declining
Planfix API|RU/KZ/BY|CRM/PM|3|2|no|no|Bearer Token (REST)|M|LOW|REST + legacy XML; webhooks; niche market
Flowlu API|RU|CRM/PM/Finance|3|2|no|unknown|API Key|M|MED|Growing CRM+PM+finance platform
S2 CRM (ex-SalesapCRM)|RU|CRM|2|1|no|unknown|Token|M|LOW|Basic API; small market
Albato API|RU|iPaaS/Integration|3|3|no|unknown|OAuth 2.0 / API Key|M|MED|600+ connectors; meta-integration platform; Russian Zapier
ApiX-Drive|RU|iPaaS/Integration|3|2|no|unknown|Token|M|LOW|300+ connectors; Albato competitor
1C:Enterprise|RU/KZ/BY/UZ/KG/AM/AZ/TJ/MD|ERP/Accounting|3|5|no|no|Basic Auth / OData|XL|HIGH|De facto CIS ERP standard; OData REST; 6M+ installations; platform not single API
MoySklad (Moy Sklad) API|RU/KZ/BY|Cloud ERP/WMS|5|4|no|yes|Bearer Token|S|HIGH|Best docs among RU business APIs; sandbox; 3M+ users; top MCP candidate
SBIS API|RU|Business Platform/ERP/EDM|3|4|no|no|Token / OAuth 2.0|L|MED|JSONRPC with Russian method names; multi-function; UKEP needed for EDO
Kontur.Diadoc API|RU|EDM/E-invoicing|4|4|no|no|Bearer Token (Kontur SSO)|L|MED|#1 B2B document exchange; 2M+ orgs; sandbox; requires UKEP
Kontur.Focus API|RU|Business Intelligence/Legal|3|4|no|no|API Key|S|HIGH|Counterparty verification; EGRUL/arbitration data; high business value
Kontur.Extern API|RU|Tax Reporting|4|4|no|yes|Certificate + Token|L|MED|#1 tax reporting to FNS/PFR/FSS; sandbox with test cert; requires UKEP
SPARK (Interfax) API|RU|Business Intelligence|3|4|no|unknown|Token / Certificate|M|HIGH|Company profiles; financial data; due diligence; major B2B data
Pravo.ru / Casebook API|RU|Legal Tech|3|3|no|unknown|Token|M|HIGH|Court cases; legal analytics; judge analytics
Oris ERP (Georgia)|GE|ERP/Accounting|2|3|no|unknown|Certificate|L|MED|Dominant local GE ERP; Georgian tax compliance
Documentolog|KZ|Document Management|3|2|no|unknown|API Key|M|MED|KZ-native DMS; used by government and enterprise
Smartup ERP|UZ/AZ|Distribution ERP|3|2|no|unknown|Token|M|MED|Uzbek origin; popular in FMCG distribution
YooKassa API|RU|Payment Gateway|5|5|no|yes|HTTP Basic (shopId + secretKey)|S|HIGH|#1 RU payment gateway; 200K+ merchants; excellent docs; sandbox
CloudPayments API|RU/KZ/BY|Payment Gateway|4|4|no|no|HTTP Basic (PublicId + ApiSecret)|S|HIGH|Modern API; subscriptions; sandbox; Apple/Google Pay
Tinkoff (T-Bank) Acquiring API|RU|Payment Gateway/Banking|4|5|no|no|TerminalKey + HMAC-SHA256|S|HIGH|Best bank APIs in RU; gRPC Invest API; sandbox
Sberbank Acquiring API|RU|Payment Gateway|3|5|no|no|Username + Password / Token|M|MED|Largest RU acquirer; non-RESTful design; sandbox
Robokassa API|RU/KZ|Payment Aggregator|3|3|no|no|MerchantLogin + MD5/SHA signature|M|MED|Legacy design; large market; transitioning to REST
PayKeeper API|RU|Payment Gateway|3|2|no|unknown|Token|M|LOW|Mid-market payments
Prodamus API|RU|Payment Gateway (info-products)|3|3|no|unknown|API Key|M|MED|Popular with course creators; webhooks
Modulbank API|RU|SMB Banking|3|2|no|unknown|Token|M|MED|SMB neobank; payments/statements/webhooks
Tochka Bank API|RU|SMB Banking|3|2|no|unknown|OAuth 2.0|M|MED|SMB digital bank; Open Banking API
Alfa-Bank API|RU|Banking|3|4|no|unknown|OAuth 2.0|M|HIGH|Major bank; business API for payments/statements/payroll
Halyk Bank ePay API|KZ|Payment Gateway|4|4|no|no|OAuth2-style (TerminalID+ClientID+Secret)|M|HIGH|#1 KZ payment gateway; ~65% online shops; sandbox; good docs
Forte Bank API|KZ|Payment Gateway/Banking|5|3|no|yes|HTTP Basic (ShopID + SecretKey)|S|HIGH|Best-documented API in Central Asia; Postman; sandbox
Kaspi Pay|KZ|Payments|1|5|no|no|N/A (no official public API)|XL|HIGH|Dominant KZ payment; 80%+ mobile payments; only third-party wrappers
Jusan Bank API|KZ|Banking|2|3|no|no|Token + CompanyID|L|MED|Business banking API only; no e-commerce; sandbox
Freedom Pay|KZ/KG|Payment Gateway|3|2|no|unknown|Merchant credentials|M|MED|Part of Freedom Holding ecosystem
Paybox.money|KZ|Payment Aggregator|3|3|no|unknown|Merchant ID + Secret|M|MED|Multi-bank aggregator; webhooks; recurring
Wooppay|KZ|Payment Gateway|3|2|no|unknown|API Key|M|MED|Local KZ player; mobile focus
Webkassa API|KZ|Online Cash Register/OFD|3|4|no|no|API Key + Token|M|HIGH|Mandatory KZ fiscal system; 300+ integrations; sandbox
